study ID,method 2,h2,SE of h2
58,parent-offspring regression,0.505,0.144
58,parent-offspring regression,0.431,0.136
58,parent-offspring regression,0.731,0.121
58,parent-offspring regression,0.288,0.118
58,parent-offspring regression,0.474,0.147
58,parent-offspring regression,0.364,0.151
58,parent-offspring regression,0.416,0.177
58,parent-offspring regression,0.584,0.106
59,parent-offspring regression,0.5,0.19
59,parent-offspring regression,0.6,0.29
59,parent-offspring regression,0.62,0.33
60,parent-offspring regression,0.55,0.24
60,parent-offspring regression,1.2,0.27
60,parent-offspring regression,0.34,0.23
60,parent-offspring regression,0.93,0.24
61,animal model,0.497,0.067
61,animal model,0.042,0.023
62,animal model,0.148,
62,animal model,0.09,
62,animal model,0.133,
62,animal model,0.383,
62,animal model,0.163,
62,animal model,0.176,
62,animal model,0.265,
62,animal model,0.237,
62,animal model,0.104,
62,animal model,0.116,
63,animal model,0.317,0.058
63,animal model,0.525,0.039
63,animal model,0.431,0.031
63,animal model,0.447,0.053
63,animal model,0.486,0.034
63,animal model,0.214,0.023
64,animal model,0.069,
64,animal model,0.069,
64,animal model,0.07,
64,animal model,0.07,
64,animal model,0.071,
64,animal model,0.071,
64,animal model,0.071,
64,animal model,0.073,
64,animal model,0.074,
64,animal model,0.079,
64,animal model,0.085,
64,animal model,0.086,
64,animal model,0.091,
64,animal model,0.092,
64,animal model,0.093,
64,animal model,0.093,
64,animal model,0.097,
64,animal model,0.098,
64,animal model,0.108,
64,animal model,0.115,
64,animal model,0.118,
64,animal model,0.118,
64,animal model,0.119,
64,animal model,0.126,
64,animal model,0.126,
64,animal model,0.127,
64,animal model,0.149,
64,animal model,0.15,
64,animal model,0.155,
64,animal model,0.158,
64,animal model,0.185,
64,animal model,0.195,
64,animal model,0.2,
64,animal model,0.266,
64,animal model,0.268,
65,animal model,0.333,0.034
65,animal model,0.078,0.016
65,animal model,0.299,0.039
65,animal model,0.343,0.023
65,animal model,0.353,0.026
65,animal model,0.47,0.026
65,animal model,0.524,0.061
65,animal model,0.331,0.088
65,animal model,0.5,0.07
65,animal model,0.09,0.018
65,animal model,0.423,0.025
65,animal model,0.587,0.052
66,animal model,0.681,0.065
66,animal model,0.586,0.093
66,animal model,0.327,0.124
