"id","dam","sire"
"725045-CWA",NA,NA
"725046-CYN",NA,NA
"725039-GGG",NA,NA
"725038-GWN",NA,NA
"725036-MOO",NA,NA
"725037-NOO",NA,NA
"725040-ORN",NA,NA
"725041-RMN",NA,NA
"725058-AWB",NA,NA
"725071-BRR",NA,NA
"725084-ABM2",NA,NA
"725087-ACY",NA,NA
"725085-AGA",NA,NA
"725088-AOC",NA,NA
"725086-MRG",NA,NA
"725082-OMR",NA,NA
"725090-RON2",NA,NA
"725089-RYR",NA,NA
"725107-GOO2",NA,NA
"725106-RBN2",NA,NA
"725105-RGR2",NA,NA
"725159-AGG2",NA,NA
"725173-GBB2",NA,NA
"725171-GOW",NA,NA
"725174-RMR2",NA,NA
"725178-BOB2",NA,NA
"725177-GOR2",NA,NA
"725185-BRB",NA,NA
"725186-ABG2",NA,NA
"725187-MGG",NA,NA
"725189-RNG2",NA,NA
"686825-OOM2",NA,NA
"725197-GOY",NA,NA
"725196-MOM",NA,NA
"725198-BGO",NA,NA
"725199-BWW",NA,NA
"725202-BYY",NA,NA
"725200-NMG",NA,NA
"725201-ORG",NA,NA
"725206-NON",NA,NA
"725205-ROY",NA,NA
"725208-WGW",NA,NA
"725207-YNO",NA,NA
"725215-BRA",NA,NA
"725217-MYW",NA,NA
"725216-OAW",NA,NA
"725219-BAG",NA,NA
"725229-WYN",NA,NA
"M00027-du027",NA,NA
"725252-GYR",NA,NA
"725275-BAN",NA,NA
"725276-RAY",NA,NA
"725272-RMO",NA,NA
"725267-YMY",NA,NA
"725273-YYB",NA,NA
"725280-BOR",NA,NA
"725295-RYM",NA,NA
"725324-BMG",NA,NA
"725323-MNB",NA,NA
"725325-NNY",NA,NA
"725333-GOB",NA,NA
"725341-NOW",NA,NA
"725370-MBG2",NA,NA
"725371-YBN",NA,NA
"725379-BOY",NA,NA
"725380-GWY",NA,NA
"725390-NNW",NA,NA
"725386-YAR",NA,NA
"M00029-du029",NA,NA
"M00030-du030",NA,NA
"725488-BYB",NA,NA
"725494-AYW",NA,NA
"725542-BGM2",NA,NA
"725540-GAB2",NA,NA
"725539-GOM",NA,NA
"725568-ORO2",NA,NA
"725574-MOB",NA,NA
"725573-RBM",NA,NA
"725576-MAY",NA,NA
"725578-RYB",NA,NA
"725579-YGG",NA,NA
"725580-BOO",NA,NA
"725581-YAY",NA,NA
"725582-GAG",NA,NA
"725583-RBG",NA,NA
"725584-GMY",NA,NA
"725585-ROA",NA,NA
"725589-BOA",NA,NA
"725587-ROG",NA,NA
"725588-YYY",NA,NA
"725590-ANO",NA,NA
"725592-BWG",NA,NA
"725594-NBY",NA,NA
"725593-WRA2",NA,NA
"725595-WAN",NA,NA
"725596-RNY2",NA,NA
"725598-GRA",NA,NA
"725597-RBR",NA,NA
"M00034-du034",NA,NA
"M00038-du038",NA,NA
"725763-GGB",NA,NA
"725764-ONY",NA,NA
"725766-WBM2",NA,NA
"725777-ROB",NA,NA
"725794-MAN2",NA,NA
"725793-MBB2",NA,NA
"725796-WOG",NA,NA
"725795-YRY",NA,NA
"725797-OOB",NA,NA
"725803-BOM",NA,NA
"725802-GAW",NA,NA
"725801-MGY",NA,NA
"725798-ORY",NA,NA
"725799-WBA",NA,NA
"725804-RRG2",NA,NA
"725805-BBM",NA,NA
"725806-NYY",NA,NA
"725808-MAA",NA,NA
"725807-RBB",NA,NA
"725809-WBO",NA,NA
"725810-ONO",NA,NA
"725811-BYO2",NA,NA
"725812-NOR2",NA,NA
"725813-MOW",NA,NA
"725844-YOB",NA,NA
"725857-MNG2",NA,NA
"725853-YMG",NA,NA
"725887-RGO",NA,NA
"776128-GBY",NA,NA
"776155-BBW",NA,NA
"M00043-du043",NA,NA
"776232-MNR2",NA,NA
"776233-RBY",NA,NA
"776256-NRG",NA,NA
"776265-NAM",NA,NA
"776267-OGO",NA,NA
"776263-OMY",NA,NA
"776269-AMB",NA,NA
"776268-MNN2",NA,NA
"776270-YBW2",NA,NA
"776297-BMR",NA,NA
"776321-BRO2",NA,NA
"776320-MOA",NA,NA
"776342-BYA",NA,NA
"776344-OWN",NA,NA
"776345-BWO",NA,NA
"776346-GBG2",NA,NA
"776347-NNO3",NA,NA
"776373-MAR",NA,NA
"776372-ONG",NA,NA
"776374-MOY2",NA,NA
"776375-ONR2",NA,NA
"776400-GWG2",NA,NA
"776376-NRR",NA,NA
"776377-RYG2",NA,NA
"776378-WMY",NA,NA
"776379-RMB",NA,NA
"776381-YRB",NA,NA
"776382-RBO3",NA,NA
"776383-BNR",NA,NA
"776384-OGB",NA,NA
"776387-GWB",NA,NA
"776386-NMA",NA,NA
"776385-YBM",NA,NA
"776388-YGN",NA,NA
"776389-BOG2",NA,NA
"776398-AWO",NA,NA
"776394-BRW",NA,NA
"776397-BWB3",NA,NA
"776401-GBM",NA,NA
"776393-GYG2",NA,NA
"776391-MGN2",NA,NA
"776399-MRY",NA,NA
"776395-WYR",NA,NA
"776396-YON",NA,NA
"776402-OMG",NA,NA
"776403-BGG",NA,NA
"776404-NRN",NA,NA
"776405-GGO2",NA,NA
"726740-Mnrnr",NA,NA
"776407-OBM",NA,NA
"776406-MMG",NA,NA
"776408-YRM",NA,NA
"776409-WGG",NA,NA
"776410-BAR2",NA,NA
"776411-NYB",NA,NA
"776412-ONM",NA,NA
"776413-YBB",NA,NA
"776414-MRB2",NA,NA
"776415-MWO",NA,NA
"776419-RMM",NA,NA
"776420-YGY",NA,NA
"776423-NMR",NA,NA
"776424-OOY",NA,NA
"776433-BYR2",NA,NA
"776434-WOW",NA,NA
"776446-GMG",NA,NA
"776472-OMO",NA,NA
"M00058-du058",NA,NA
"776650-BNY",NA,NA
"M00060-du060",NA,NA
"776740-RMW2",NA,NA
"776746-AYN2",NA,NA
"776747-ARW",NA,NA
"776749-BGB2",NA,NA
"776748-YBR",NA,NA
"776750-MYG",NA,NA
"776752-MMB",NA,NA
"776751-WWG",NA,NA
"776753-NBO",NA,NA
"776754-GGM",NA,NA
"776755-OON",NA,NA
"776757-GGY",NA,NA
"776758-NGB",NA,NA
"776760-OWB",NA,NA
"776756-RNO2",NA,NA
"776761-WMB3",NA,NA
"776759-YNM3",NA,NA
"776762-OYM",NA,NA
"776764-ORM",NA,NA
"776763-ROO",NA,NA
"776765-AYA",NA,NA
"776767-BMB",NA,NA
"776766-OBN",NA,NA
"776768-ANA",NA,NA
"776769-BBR",NA,NA
"776770-GRW",NA,NA
"776772-GBO2",NA,NA
"776776-MGO",NA,NA
"776777-MYY2",NA,NA
"776773-RGM",NA,NA
"776775-RMY",NA,NA
"776771-WGB",NA,NA
"776774-YNR",NA,NA
"776778-BWY",NA,NA
"776780-RYY2",NA,NA
"776781-BNO2",NA,NA
"776782-GGW",NA,NA
"776783-OBB",NA,NA
"776784-MWW",NA,NA
"776788-GAR",NA,NA
"776789-MON",NA,NA
"776786-ROW",NA,NA
"776785-YBO",NA,NA
"776790-NBR",NA,NA
"776791-NWN",NA,NA
"776793-RNM2",NA,NA
"776792-WGR",NA,NA
"776794-OMW",NA,NA
"776796-RNN",NA,NA
"776795-YOR",NA,NA
"776799-BAW",NA,NA
"776798-RYN",NA,NA
"776797-WNB3",NA,NA
"776800-GOG2",NA,NA
"776859-MGM2",NA,NA
"776862-OYO",NA,NA
"776860-RGY2",NA,NA
"776861-WMW",NA,NA
"776863-OYR",NA,NA
"776864-WBR",NA,NA
"776866-GGR",NA,NA
"776865-MNM",NA,NA
"776867-OGM2",NA,NA
"776868-RGB",NA,NA
"779781-BWR2",NA,NA
"776870-NYR",NA,NA
"779782-WGY",NA,NA
"776869-YWW",NA,NA
"803901-GMO",NA,NA
"803902-OYY",NA,NA
"803903-YYG",NA,NA
"803904-RNB",NA,NA
"803905-BNW2",NA,NA
"803906-MAN",NA,NA
"803907-BOA",NA,NA
"803908-YOO",NA,NA
"803909-BAB",NA,NA
"803910-RGW",NA,NA
"803914-GMW2",NA,NA
"803915-NBG2",NA,NA
"S00005-soc05",NA,NA
"803962-OWW",NA,NA
"M00057-du057",NA,NA
"803977-MNY",NA,NA
"M00064-du064",NA,NA
"M00069-du069",NA,NA
"804191-BBG2",NA,NA
"804185-MobY",NA,NA
"804187-RobR",NA,NA
"804189-GGN2",NA,NA
"804194-MWG2",NA,NA
"804188-MYN",NA,NA
"804190-YYR2",NA,NA
"804199-GAO2",NA,NA
"804198-MBW2",NA,NA
"804197-NWY3",NA,NA
"804195-ONB",NA,NA
"804201-ORR",NA,NA
"804196-RWM",NA,NA
"804202-WNN3",NA,NA
"804200-YRM2",NA,NA
"804203-RAY2",NA,NA
"804204-NOM2",NA,NA
"804205-RNR2",NA,NA
"804206-WGO2",NA,NA
"804207-NNM",NA,NA
"804208-BGO2",NA,NA
"804209-WMN3",NA,NA
"804210-NNG2",NA,NA
"804211-GYB",NA,NA
"804213-RRY2",NA,NA
"804212-WWW",NA,NA
"804214-RNW",NA,NA
"804216-NGR2",NA,NA
"804215-OBW",NA,NA
"804219-GMM2",NA,NA
"804218-NGO",NA,NA
"804217-WNM",NA,NA
"804220-WMG",NA,NA
"804221-MBO",NA,NA
"804222-MGW",NA,NA
"804223-BYG2",NA,NA
"804224-WBG",NA,NA
"804225-NBM",NA,NA
"804226-GYY",NA,NA
"804227-YMB",NA,NA
"804228-MGR2",NA,NA
"804229-MMA2",NA,NA
"804230-OGR",NA,NA
"804231-OBG",NA,NA
"804285-WRO",NA,NA
"M00066-du066",NA,NA
"M00072-du072",NA,NA
"M00074-du074",NA,NA
"M00075-du075",NA,NA
"M00073-du073",NA,NA
"832089-YRW",NA,NA
"832094-GWO",NA,NA
"832093-NAY",NA,NA
"832098-AAA",NA,NA
"M00067-du067",NA,NA
"M00052-du052",NA,NA
"832121-OAY",NA,NA
"832149-RRO2",NA,NA
"832157-NBW2",NA,NA
"832154-WRY",NA,NA
"832173-GWM",NA,NA
"832174-NGM",NA,NA
"832177-WYW3",NA,NA
"832183-YYO",NA,NA
"832186-GYW2",NA,NA
"832185-OWR2",NA,NA
"832184-YGM",NA,NA
"832187-GNG",NA,NA
"832188-YMM",NA,NA
"832189-YGO",NA,NA
"832190-YMN",NA,NA
"832191-GNM",NA,NA
"832192-RWB2",NA,NA
"832193-YNB",NA,NA
"832194-YNW2",NA,NA
"832195-YNG",NA,NA
"832196-RWW2",NA,NA
"832198-RWR",NA,NA
"832197-YWG",NA,NA
"832200-RRR",NA,NA
"832199-YAN2",NA,NA
"832201-AAB2",NA,NA
"832202-GAA",NA,NA
"832214-ARG",NA,NA
"832209-BAY",NA,NA
"832204-GBA",NA,NA
"832213-GBY",NA,NA
"832205-NAN",NA,NA
"832212-NYA",NA,NA
"832210-RMA",NA,NA
"832215-RNO",NA,NA
"832206-WNO",NA,NA
"832211-YNM",NA,NA
"832217-OBO",NA,NA
"832219-NBA",NA,NA
"832220-OMA",NA,NA
"832221-RYO2",NA,NA
"832222-WAA2",NA,NA
"832218-YWM",NA,NA
"832223-WAG",NA,NA
"832224-MAM",NA,NA
"S00004-soc04",NA,NA
"832226-BMG",NA,NA
"832227-MBR2",NA,NA
"832228-YOY2",NA,NA
"832230-NAB",NA,NA
"832242-NAA",NA,NA
"M00076-du076",NA,NA
"832287-ROM",NA,NA
"M00063-du063",NA,NA
"832376-RWO",NA,NA
"M00033-du033",NA,NA
"832485-BBA",NA,NA
"832487-NWA",NA,NA
"832486-WOO",NA,NA
"832496-YWO",NA,NA
"832500-RON",NA,NA
"832518-OMB",NA,NA
"776013-_yryr",NA,NA
"776014-RAB2",NA,NA
"832545-RYA",NA,NA
"832548-BYM",NA,NA
"832547-OYB",NA,NA
"832546-YRA",NA,NA
"832549-MNO",NA,NA
"832551-ABY",NA,NA
"832550-AMN",NA,NA
"832553-BWA",NA,NA
"832552-YGA",NA,NA
"832554-NNA",NA,NA
"832555-YAA",NA,NA
"832557-MBA",NA,NA
"832556-WNY2",NA,NA
"832558-BRM",NA,NA
"832559-WON",NA,NA
"832560-NAW",NA,NA
"832561-RRA",NA,NA
"832562-AOA",NA,NA
"832563-OAB",NA,NA
"832564-MAG2",NA,NA
"832565-MRW",NA,NA
"832566-MGA2",NA,NA
"832567-YOM2",NA,NA
"832568-BRG",NA,NA
"832569-RRM",NA,NA
