ID	Sire	Dam
1133	NA	848
1135	NA	848
1131	NA	848
1132	NA	848
3319	2822	849
3322	771	849
3318	NA	849
3321	2779	849
3317	NA	849
3320	NA	849
1163	NA	851
1164	NA	851
1165	NA	851
1818	NA	859
885	NA	863
880	NA	863
881	4061	863
884	3301	863
882	1117	863
883	3554	863
4656	377	864
4657	NA	864
4658	3554	864
4659	2767	864
1097	4538	865
1095	3554	865
1094	3554	865
1096	2767	865
840	2645	866
841	2767	866
842	1463	866
839	3554	866
843	2527	866
858	NA	866
861	1506	870
864	4008	870
868	NA	870
860	NA	870
865	5289	870
859	NA	870
862	2209	870
867	NA	870
869	NA	870
863	NA	870
866	5289	870
3828	5332	872
3825	4501	872
3823	512	872
3824	4332	872
3826	1973	872
3829	NA	872
3821	3527	872
3822	3527	872
3827	4781	872
2603	1454	873
2604	3973	873
2144	1961	876
4036	NA	883
4037	NA	883
4626	3274	889
4628	1873	889
4622	4688	889
4624	3328	889
4629	3146	889
4623	3328	889
4625	701	889
4627	3274	889
938	565	907
939	565	907
937	4158	907
936	4387	907
941	3126	907
940	NA	907
944	NA	907
943	NA	907
942	NA	907
742	3893	933
738	NA	933
741	3893	933
740	2651	933
739	377	933
743	1174	933
2578	1117	934
2579	3398	934
2582	3189	934
2580	3893	934
2583	3838	934
2581	3893	934
934	2471	935
933	4008	935
1599	4445	939
1601	NA	939
1600	NA	939
3766	5351	952
3767	3894	952
1736	2477	953
1740	4144	953
1738	4144	953
1735	912	953
1739	429	953
1737	3894	953
3732	5332	954
3730	4332	954
3728	4500	954
3731	2213	954
3729	NA	954
3733	NA	954
4155	2077	958
4154	510	958
3605	NA	964
3607	NA	964
3604	NA	964
3603	NA	964
3606	NA	964
123	NA	982
130	NA	982
124	NA	982
131	NA	982
125	NA	982
127	NA	982
128	NA	982
129	NA	982
122	NA	982
126	2822	982
3208	NA	990
3206	NA	990
3205	NA	990
3209	NA	990
3207	NA	990
643	NA	992
642	NA	992
639	NA	992
640	NA	992
641	NA	992
3381	NA	993
3379	1498	993
3380	NA	993
993	NA	998
996	NA	998
991	1505	998
997	NA	998
995	NA	998
992	NA	998
990	NA	998
994	NA	998
141	1961	999
146	2589	999
142	NA	999
143	NA	999
140	2021	999
145	512	999
144	NA	999
1029	NA	1000
1032	NA	1000
1031	NA	1000
1030	NA	1000
1884	NA	1002
3098	NA	1003
3099	NA	1003
1004	NA	1005
1001	NA	1005
1000	NA	1005
1002	NA	1005
1003	NA	1005
852	1476	1006
850	NA	1006
847	1117	1006
857	NA	1006
856	NA	1006
853	3387	1006
849	3831	1006
854	NA	1006
855	484	1006
851	NA	1006
848	NA	1006
844	NA	1006
846	NA	1006
845	NA	1006
989	NA	1008
985	NA	1008
980	NA	1008
987	NA	1008
988	NA	1008
986	NA	1008
983	NA	1008
984	NA	1008
981	NA	1008
982	5071	1008
1044	NA	1009
1043	NA	1009
2896	3554	1011
2897	4112	1011
2898	4750	1011
3186	1460	1012
3185	304	1012
3184	1493	1012
3187	769	1012
3183	NA	1012
1778	1925	1013
1784	2347	1013
1776	4925	1013
1774	NA	1013
1775	4538	1013
1777	2527	1013
1782	1110	1013
1780	201	1013
1781	1125	1013
1779	3893	1013
1783	201	1013
1010	NA	1015
1011	2899	1015
1007	2209	1015
1014	1470	1015
1013	3554	1015
1006	2209	1015
1012	4061	1015
1008	4008	1015
1009	NA	1015
4907	NA	1016
91	193	1034
90	3312	1034
1715	5071	1043
3270	NA	1044
3269	2651	1044
3454	NA	1051
3455	NA	1051
3452	NA	1051
3451	NA	1051
3456	NA	1051
3453	NA	1051
3450	2767	1051
1558	3831	1057
1557	NA	1057
1058	NA	1059
1057	NA	1059
1055	NA	1059
1054	NA	1059
1056	NA	1059
1053	NA	1059
647	1448	1063
648	490	1063
649	490	1063
650	1471	1063
1863	3836	1074
5139	1642	1087
5137	3328	1087
5138	NA	1087
5144	NA	1087
5142	1943	1087
5140	1617	1087
5141	NA	1087
5143	NA	1087
979	4543	1089
1169	3994	1090
1170	1457	1090
1167	3785	1090
1166	4725	1090
1168	1465	1090
972	1702	1092
1762	NA	1098
1763	NA	1098
223	1943	1100
226	4501	1100
225	5351	1100
227	NA	1100
222	2021	1100
229	2589	1100
228	3894	1100
224	5351	1100
3015	NA	1101
3014	NA	1101
3013	1598	1101
4093	4677	1104
4090	3057	1104
4092	3527	1104
4091	1943	1104
3365	2451	1108
3363	4800	1108
3364	4552	1108
3362	2347	1108
1123	NA	1111
1121	2899	1111
1118	NA	1111
1120	NA	1111
1124	NA	1111
1115	NA	1111
1119	4008	1111
1117	2209	1111
1122	2899	1111
1116	4600	1111
2647	NA	1116
2649	NA	1116
2646	2899	1116
2648	NA	1116
2645	1511	1116
3120	2899	1119
3122	4710	1119
3123	NA	1119
3121	3554	1119
3119	2899	1119
3997	2631	1121
3990	2645	1121
3992	304	1121
3993	NA	1121
3988	2767	1121
3995	4943	1121
3996	1174	1121
3994	484	1121
3991	NA	1121
3989	861	1121
64	NA	1129
2095	5161	1152
2094	3328	1152
1046	NA	1155
1047	2627	1155
1050	2347	1155
1049	4632	1155
1048	1021	1155
5348	4688	1160
5351	4800	1160
5349	201	1160
5345	193	1160
5347	4688	1160
5350	2631	1160
5344	257	1160
5346	2538	1160
