"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","id","dam","cohort","group","litter","DamCohort"
"151",0,0,0.5625,1,-0.000193171662817315,-0.0202311406180255,609,20,14,27,61,222
"152",0,0,0.5,1,-0.000193171662817315,-0.0202311406180255,617,16,14,27,57,161
"153",0,0,0,1,-0.034372729144966,0.0364498876298628,630,28,4,27,380,281
"154",0,0,0,0,-0.0309547733967511,0.0252569083076687,639,28,5,27,86,282
"155",0,0,0,1,-0.0241188619003214,0.00655420066155076,650,6,7,27,36,402
"156",0,0,0.5,0,-0.0241188619003214,0.00655420066155076,662,8,7,27,40,444
"157",0,0,0.5,1,-0.0241188619003214,0.00655420066155076,673,5,7,27,28,376
"158",0,0,0.5,0,-0.0241188619003214,0.00655420066155076,684,5,7,27,28,376
"159",0,0,0,1,-0.0207009061521065,-0.000955527662373147,695,28,8,27,92,285
"160",0,0,0,0,-0.0207009061521065,-0.000955527662373147,705,28,8,27,92,285
"161",0,0,0.25,1,-0.0207009061521065,-0.000955527662373147,713,12,8,27,510,81
"162",0,0,0.25,0,-0.0207009061521065,-0.000955527662373147,724,12,8,27,510,81
"163",0,0.125,0,1,-0.0172829504038917,-0.00723750565354033,735,8,9,27,42,445
"164",0,0,0,0,-0.00702908315924706,-0.0187169376305016,746,16,12,27,54,159
"165",0,0,0,1,-0.00702908315924706,-0.0187169376305016,757,16,12,27,54,159
"166",0,0,0,0,-0.00702908315924706,-0.0187169376305016,769,16,12,27,54,159
"167",0,0,0,1,-0.00702908315924706,-0.0187169376305016,780,16,12,27,54,159
"168",0,0.125,0.125,0,-0.00702908315924706,-0.0187169376305016,791,18,12,27,58,192
"169",0,0,0.5,0,-0.000193171662817315,-0.0202311406180255,802,16,14,27,57,161
"170",0,0,0.5,1,-0.000193171662817315,-0.0202311406180255,813,16,14,27,57,161
"171",0,0,0.5,0,-0.000193171662817315,-0.0202311406180255,824,16,14,27,57,161
"172",0,0,0.5,1,-0.000193171662817315,-0.0202311406180255,835,16,14,27,57,161
"173",0,0,0.25,0,-0.0172829504038917,-0.00723750565354033,871,51,9,28,156,349
"174",0,0,0.5,0,-0.0138649946556768,-0.0122917333119508,882,52,10,28,164,354
"175",0,0,0.5,0,-0.0138649946556768,-0.0122917333119508,892,52,10,28,164,354
"176",0,0,0.5,0,-0.0138649946556768,-0.0122917333119508,901,52,10,28,164,354
"177",0,0,0.25,0,-0.0138649946556768,-0.0122917333119508,911,51,10,28,157,350
"178",0,0,0,0,-0.0138649946556768,-0.0122917333119508,920,51,10,28,157,350
"179",0,0,0.25,0,-0.0138649946556768,-0.0122917333119508,930,51,10,28,158,350
"180",4,0,0.25,0,-0.0138649946556768,-0.0122917333119508,940,51,10,28,158,350
"181",0,0,0.25,0,-0.0104470389074619,-0.0161182106376045,951,51,11,28,159,351
"182",0,0,0.25,0,-0.0104470389074619,-0.0161182106376045,962,51,11,28,159,351
"183",0,0,0.25,0,-0.0104470389074619,-0.0161182106376045,974,51,11,28,159,351
"184",0,0,0,0,-0.0104470389074619,-0.0161182106376045,985,51,11,28,62,351
"185",0,0,0,0,-0.0104470389074619,-0.0161182106376045,996,51,11,28,62,351
"186",0,0,0,0,-0.0104470389074619,-0.0161182106376045,1007,51,11,28,62,351
"187",11,0,0.25,0,-0.00702908315924706,-0.0187169376305016,1013,51,12,28,64,352
"188",0,0,0,0,-0.00702908315924706,-0.0187169376305016,1022,51,12,28,64,352
"189",0,0,0.25,0,-0.00702908315924706,-0.0187169376305016,1031,51,12,28,63,352
